X [s],R BICEPS BRACHII: EMG 1 [V],L BICEPS BRACHII: EMG 2 [V]
0.2686034,-0.0167849,0.0129244
0.269069,-0.01561,0.0132601
0.2695345,-0.0149386,0.0137636
0.27,-0.0135958,0.0132601
0.2704655,-0.0140993,0.0125887
0.270931,-0.0154421,0.0135958
0.2713966,-0.0159457,0.0152743
0.2718621,-0.01561,0.0157778
0.2723276,-0.01561,0.0152743
0.2727931,-0.01561,0.0152743
0.2732586,-0.0149386,0.0146029
0.2737241,-0.0151064,0.0146029
0.2741897,-0.0157778,0.0152743
0.2746552,-0.0166171,0.0152743
0.2751207,-0.0147707,0.0159457
0.2755862,-0.0139315,0.0159457
0.2760517,-0.01561,0.0172885
0.2765172,-0.0166171,0.0159457
0.2769828,-0.0166171,0.0146029
0.2774483,-0.01561,0.0139315
0.2779138,-0.0159457,0.0132601
0.2783793,-0.0176242,0.0137636
0.2788448,-0.0179599,0.0146029
0.2793103,-0.0184634,0.0152743
0.2797759,-0.0181277,0.0149386
0.2802414,-0.0176242,0.0151064
0.2807069,-0.0176242,0.01561
0.2811724,-0.0182956,0.01561
0.2816379,-0.0196384,0.0159457
0.2821034,-0.018967,0.0157778
0.282569,-0.0176242,0.0142672
0.2830345,-0.0162814,0.0125887
0.2835,-0.01561,0.0130922
0.2839655,-0.0152743,0.0159457
0.284431,-0.0157778,0.0182956
0.2848966,-0.0162814,0.0191348
0.2853621,-0.0162814,0.0196384
0.2858276,-0.0169528,0.0182956
0.2862931,-0.0176242,0.0169528
0.2867586,-0.017792,0.0159457
0.2872241,-0.0172885,0.0149386
0.2876897,-0.0169528,0.01561
0.2881552,-0.0166171,0.0152743
0.2886207,-0.0159457,0.014435
0.2890862,-0.0162814,0.0139315
0.2895517,-0.0166171,0.0132601
0.2900172,-0.0169528,0.0125887
0.2904828,-0.0171206,0.0119173
0.2909483,-0.0174563,0.0125887
0.2914138,-0.0187991,0.0132601
0.2918793,-0.018967,0.0132601
0.2923448,-0.0182956,0.0132601
0.2928103,-0.0176242,0.0132601
0.2932759,-0.0169528,0.0146029
0.2937414,-0.0169528,0.0142672
0.2942069,-0.0159457,0.0132601
0.2946724,-0.0146029,0.0132601
0.2951379,-0.014435,0.0142672
0.2956034,-0.0154421,0.014435
0.296069,-0.0166171,0.0132601
0.2965345,-0.01561,0.0119173
0.297,-0.0146029,0.0112459
0.2974655,-0.0149386,0.0129244
0.297931,-0.0166171,0.0139315
0.2983966,-0.0176242,0.0129244
0.2988621,-0.0167849,0.0125887
0.2993276,-0.0151064,0.0132601
0.2997931,-0.0151064,0.0146029
0.3002586,-0.01561,0.0152743
0.3007241,-0.0152743,0.0149386
0.3011897,-0.0151064,0.0139315
0.3016552,-0.0161135,0.0139315
0.3021207,-0.0166171,0.0146029
0.3025862,-0.0171206,0.01561
0.3030517,-0.0166171,0.01561
0.3035172,-0.0159457,0.0152743
0.3039828,-0.01561,0.0139315
0.3044483,-0.0167849,0.0139315
0.3049138,-0.0176242,0.0146029
0.3053793,-0.0169528,0.0159457
0.3058448,-0.0166171,0.0159457
0.3063103,-0.01561,0.0159457
0.3067759,-0.0159457,0.0159457
0.3072414,-0.0162814,0.0166171
0.3077069,-0.0161135,0.0166171
0.3081724,-0.0166171,0.01561
0.3086379,-0.0171206,0.0149386
0.3091034,-0.0169528,0.0146029
0.309569,-0.0169528,0.0146029
0.3100345,-0.0182956,0.0152743
0.3105,-0.0184634,0.0159457
0.3109655,-0.0182956,0.0166171
0.311431,-0.0172885,0.0159457
0.3118966,-0.0171206,0.01561
0.3123621,-0.0167849,0.0149386
0.3128276,-0.0162814,0.0137636
0.3132931,-0.0169528,0.0142672
0.3137586,-0.0169528,0.0151064
0.3142241,-0.0179599,0.0146029
0.3146897,-0.0186313,0.0132601
0.3151552,-0.018967,0.0119173
0.3156207,-0.018967,0.0125887
0.3160862,-0.0196384,0.0139315
0.3165517,-0.0193027,0.0139315
0.3170172,-0.0182956,0.0146029
0.3174828,-0.0169528,0.0164492
0.3179483,-0.0169528,0.0169528
0.3184138,-0.0176242,0.0142672
0.3188793,-0.0169528,0.012253
0.3193448,-0.0162814,0.0119173
0.3198103,-0.01561,0.0115816
0.3202759,-0.0162814,0.0109102
0.3207414,-0.0166171,0.0114137
0.3212069,-0.0181277,0.0132601
0.3216724,-0.0184634,0.0139315
0.3221379,-0.0172885,0.0132601
0.3226034,-0.0164492,0.0124208
0.323069,-0.0167849,0.0137636
0.3235345,-0.01561,0.014435
0.324,-0.0146029,0.0146029
0.3244655,-0.014435,0.0139315
0.324931,-0.0157778,0.0132601
0.3253966,-0.0162814,0.0137636
0.3258621,-0.0161135,0.0139315
0.3263276,-0.01561,0.0149386
0.3267931,-0.0152743,0.0151064
0.3272586,-0.0162814,0.0146029
0.3277241,-0.0172885,0.0135958
0.3281897,-0.0167849,0.014435
0.3286552,-0.0162814,0.0151064
0.3291207,-0.0174563,0.0146029
0.3295862,-0.0193027,0.0146029
0.3300517,-0.0196384,0.0162814
0.3305172,-0.018967,0.0172885
0.3309828,-0.0169528,0.0172885
0.3314483,-0.0162814,0.0159457
0.3319138,-0.0167849,0.0139315
0.3323793,-0.0179599,0.0132601
0.3328448,-0.0184634,0.0139315
0.3333103,-0.0184634,0.01561
0.3337759,-0.0179599,0.0166171
0.3342414,-0.0179599,0.0149386
0.3347069,-0.0171206,0.0137636
0.3351724,-0.0169528,0.0135958
0.3356379,-0.0167849,0.0132601
0.3361034,-0.0154421,0.0146029
0.336569,-0.0149386,0.0157778
0.3370345,-0.0152743,0.0152743
0.3375,-0.01561,0.0140993
0.3379655,-0.0169528,0.014435
0.338431,-0.018967,0.0146029
0.3388966,-0.018967,0.0140993
0.3393621,-0.0176242,0.0142672
0.3398276,-0.0162814,0.0142672
0.3402931,-0.0159457,0.0132601
0.3407586,-0.0162814,0.0125887
0.3412241,-0.0167849,0.0139315
0.3416897,-0.0172885,0.0149386
0.3421552,-0.017792,0.0146029
0.3426207,-0.0179599,0.0146029
0.3430862,-0.0176242,0.0152743
0.3435517,-0.0169528,0.0159457
0.3440172,-0.0181277,0.0159457
0.3444828,-0.0186313,0.01561
0.3449483,-0.0166171,0.0159457
